,event_time,new
401,2019-12-17 00:55:47,2019-12-17 00:55:47
402,2019-12-17 00:55:51,2019-12-17 00:55:51
403,2019-12-17 00:55:52,2019-12-17 00:55:52
404,2019-12-17 00:56:01,2019-12-17 00:56:01
405,2019-12-17 00:56:12,2019-12-17 00:56:12
406,2019-12-17 00:56:34,2019-12-17 00:56:34
407,2019-12-17 00:56:40,2019-12-17 00:56:40
408,2019-12-17 00:56:48,2019-12-17 00:56:48
409,2019-12-17 00:56:49,2019-12-17 00:56:49
410,2019-12-17 00:57:00,2019-12-17 00:57:00
411,2019-12-17 00:57:08,2019-12-17 00:57:08
412,2019-12-17 00:57:50,2019-12-17 00:57:50
413,2019-12-17 00:57:52,2019-12-17 00:57:52
414,2019-12-17 00:57:52,2019-12-17 00:57:53
415,2019-12-17 00:57:58,2019-12-17 00:57:58
416,2019-12-17 00:58:01,2019-12-17 00:58:01
417,2019-12-17 00:58:15,2019-12-17 00:58:15
418,2019-12-17 00:58:59,2019-12-17 00:58:59
419,2019-12-17 00:59:36,2019-12-17 00:59:36
420,2019-12-17 00:59:45,2019-12-17 00:59:45
421,2019-12-17 00:59:47,2019-12-17 00:59:47
422,2019-12-17 00:59:56,2019-12-17 00:59:56
423,2019-12-17 01:00:01,2019-12-17 01:00:01
424,2019-12-17 01:00:11,2019-12-17 01:00:11
425,2019-12-17 01:00:16,2019-12-17 01:00:16
426,2019-12-17 01:00:27,2019-12-17 01:00:27
427,2019-12-17 01:00:40,2019-12-17 01:00:40
428,2019-12-17 01:00:58,2019-12-17 01:00:58
429,2019-12-17 01:01:32,2019-12-17 01:01:32
430,2019-12-17 01:01:44,2019-12-17 01:01:44
431,2019-12-17 01:01:45,2019-12-17 01:01:45
432,2019-12-17 01:02:45,2019-12-17 01:02:45
433,2019-12-17 01:02:49,2019-12-17 01:02:49
434,2019-12-17 01:03:03,2019-12-17 01:03:03
435,2019-12-17 01:03:03,2019-12-17 01:03:04
436,2019-12-17 01:03:24,2019-12-17 01:03:24
437,2019-12-17 01:04:15,2019-12-17 01:04:15
438,2019-12-17 01:04:20,2019-12-17 01:04:20
439,2019-12-17 01:04:22,2019-12-17 01:04:22
440,2019-12-17 01:04:27,2019-12-17 01:04:27
441,2019-12-17 01:04:59,2019-12-17 01:04:59
442,2019-12-17 01:05:16,2019-12-17 01:05:16
443,2019-12-17 01:05:19,2019-12-17 01:05:19
444,2019-12-17 01:05:32,2019-12-17 01:05:32
445,2019-12-17 01:05:35,2019-12-17 01:05:35
446,2019-12-17 01:06:52,2019-12-17 01:06:52
447,2019-12-17 01:06:53,2019-12-17 01:06:53
448,2019-12-17 01:07:07,2019-12-17 01:07:07
449,2019-12-17 01:07:37,2019-12-17 01:07:37
450,2019-12-17 01:08:11,2019-12-17 01:08:11
451,2019-12-17 01:08:34,2019-12-17 01:08:34
452,2019-12-17 01:08:51,2019-12-17 01:08:51
453,2019-12-17 01:09:03,2019-12-17 01:09:03
454,2019-12-17 01:09:17,2019-12-17 01:09:17
455,2019-12-17 01:09:27,2019-12-17 01:09:27
456,2019-12-17 01:09:32,2019-12-17 01:09:32
457,2019-12-17 01:09:53,2019-12-17 01:09:53
458,2019-12-17 01:09:58,2019-12-17 01:09:58
459,2019-12-17 01:10:25,2019-12-17 01:10:25
460,2019-12-17 01:10:34,2019-12-17 01:10:34
461,2019-12-17 01:10:54,2019-12-17 01:10:54
462,2019-12-17 01:11:16,2019-12-17 01:11:16
463,2019-12-17 01:11:18,2019-12-17 01:11:18
464,2019-12-17 01:11:29,2019-12-17 01:11:29
465,2019-12-17 01:12:47,2019-12-17 01:12:47
466,2019-12-17 01:13:21,2019-12-17 01:13:21
467,2019-12-17 01:13:23,2019-12-17 01:13:23
468,2019-12-17 01:13:24,2019-12-17 01:13:24
469,2019-12-17 01:13:32,2019-12-17 01:13:32
470,2019-12-17 01:14:02,2019-12-17 01:14:02
471,2019-12-17 01:14:33,2019-12-17 01:14:33
472,2019-12-17 01:14:37,2019-12-17 01:14:37
473,2019-12-17 01:14:39,2019-12-17 01:14:39
474,2019-12-17 01:14:58,2019-12-17 01:14:58
475,2019-12-17 01:14:58,2019-12-17 01:14:59
476,2019-12-17 01:15:11,2019-12-17 01:15:11
477,2019-12-17 01:15:37,2019-12-17 01:15:37
478,2019-12-17 01:16:26,2019-12-17 01:16:26
